userId,courseId,timeSpent,score,discussions
21,79,185,4,12
53,232,106,5,0
79,51,211,5,31
191,227,123,1,12
200,144,113,5,43
116,193,14,2,22
116,71,131,5,27
59,272,220,4,11
147,108,165,2,1
94,274,156,2,5
120,150,14,3,29
139,247,190,0,18
195,272,212,4,29
122,172,28,0,46
130,297,89,1,38
59,268,218,5,16
80,48,62,1,26
128,248,18,2,42
176,1,54,4,37
61,49,159,4,4
152,58,134,2,27
49,33,207,0,28
178,179,17,5,47
21,99,177,1,23
144,173,47,4,12
134,263,120,4,21
55,296,71,2,25
38,227,77,0,3
165,209,47,5,41
48,151,12,1,19
97,47,161,1,3
12,258,32,0,42
185,197,48,0,14
116,49,60,3,7
93,179,136,1,40
75,59,129,5,31
147,150,66,5,50
79,275,157,3,7
139,170,236,2,6
112,280,199,3,25
177,240,56,3,41
90,35,72,3,24
122,205,62,2,3
86,276,96,1,12
118,84,110,4,46
77,238,116,0,23
14,251,179,4,18
172,264,113,5,34
116,51,0,2,14
80,76,222,5,31
185,246,0,1,15
177,177,145,1,49
84,145,237,2,45
123,293,228,2,10
63,116,149,0,5
149,174,160,3,28
12,264,181,4,32
84,117,195,1,8
145,271,208,3,13
76,154,90,1,14
140,48,60,3,33
51,89,88,0,16
124,193,46,4,10
197,52,193,1,47
10,158,180,0,27
131,225,46,0,40
37,77,169,5,46
71,243,112,1,35
33,49,96,5,33
60,190,43,0,36
137,68,109,0,14
134,68,194,3,44
80,178,192,1,45
9,244,63,5,14
84,53,198,1,33
126,209,169,5,41
198,98,31,4,3
129,151,50,4,29
142,240,137,4,2
117,63,232,2,9
143,284,129,5,3
1,255,234,1,5
146,161,124,0,49
44,12,148,1,36
57,2,168,5,25
168,85,74,1,16
18,183,91,0,16
116,205,213,2,39
121,123,141,0,13
128,238,69,1,11
4,12,99,3,39
97,39,96,2,40
38,10,164,0,24
152,95,92,4,37
183,63,169,2,20
200,236,136,1,38
122,180,162,2,12
114,194,40,2,28
137,217,37,5,20
5,261,223,5,0
49,116,5,2,16
118,272,108,4,24
